dataset,sample_id,model,step,attention,entropy,drift,phi_a,phi_e,phi_d,fi
HotpotQA,0,facebook/opt-2.7b,0,0.7451171875,3.635990619659424,0.0,0.2548828125,0.04316036324752,0.0,0.117059252136632
HotpotQA,0,facebook/opt-2.7b,1,0.8603515625,1.4345099925994873,41.12200927734375,0.1396484375,0.6224973703685559,0.822440185546875,0.4793435010157133
HotpotQA,0,facebook/opt-2.7b,2,0.74951171875,2.0391767024993896,26.34795379638672,0.25048828125,0.4633745519738448,0.5269590759277344,0.39411617467277926
HotpotQA,0,facebook/opt-2.7b,3,0.73193359375,1.2368100881576538,55.508766174316406,0.26806640625,0.6745236610111437,1.0,0.5933098438539003
HotpotQA,0,facebook/opt-2.7b,4,0.71533203125,4.630706787109375,57.96680450439453,0.28466796875,0.0,1.0,0.3638671875
HotpotQA,0,facebook/opt-2.7b,5,0.81591796875,1.6954104900360107,55.92409896850586,0.18408203125,0.5538393447273656,1.0,0.517476583154578
HotpotQA,0,facebook/opt-2.7b,6,0.7412109375,4.354630947113037,22.339563369750977,0.2587890625,0.0,0.4467912673950195,0.21521344184875488
HotpotQA,0,facebook/opt-2.7b,7,0.90576171875,0.7440147399902344,49.758506774902344,0.09423828125,0.8042066473709909,0.9951701354980469,0.5679601729543585
HotpotQA,0,facebook/opt-2.7b,8,0.751953125,1.0703577995300293,27.153066635131836,0.248046875,0.7183268948605186,0.5430613327026367,0.48639849637684074
HotpotQA,0,facebook/opt-2.7b,9,0.8046875,0.48918503522872925,54.78657531738281,0.1953125,0.8712670959924397,1.0,0.6330684835973539
HotpotQA,0,facebook/opt-2.7b,10,0.73388671875,2.6671125888824463,59.35865783691406,0.26611328125,0.29812826608356674,1.0,0.46079020562924833
HotpotQA,0,facebook/opt-2.7b,11,0.849609375,2.5794458389282227,61.964805603027344,0.150390625,0.32119846343994135,1.0,0.4225757122039795
HotpotQA,0,facebook/opt-2.7b,12,0.732421875,4.132074356079102,22.345293045043945,0.267578125,0.0,0.4469058609008789,0.21875771522521975
HotpotQA,0,facebook/opt-2.7b,13,0.806640625,2.059556007385254,50.32624816894531,0.193359375,0.4580115770038805,1.0,0.48764780195135815
HotpotQA,0,facebook/opt-2.7b,14,0.7451171875,4.7751383781433105,31.48331642150879,0.2548828125,0.0,0.6296663284301758,0.2593697071075439
HotpotQA,0,facebook/opt-2.7b,15,0.78271484375,1.2927919626235962,44.277591705322266,0.21728515625,0.6597915887832642,0.8855518341064453,0.5392290771007537
HotpotQA,0,facebook/opt-2.7b,16,0.748046875,4.088584899902344,42.621089935302734,0.251953125,0.0,0.8524217987060547,0.31388669967651367
HotpotQA,0,facebook/opt-2.7b,17,0.89794921875,4.000597953796387,65.21405029296875,0.10205078125,0.0,1.0,0.2908203125
HotpotQA,0,facebook/opt-2.7b,18,0.90087890625,2.953577995300293,65.7426528930664,0.09912109375,0.22274263281571233,1.0,0.3676083589854993
HotpotQA,0,facebook/opt-2.7b,19,0.79541015625,1.3078200817108154,47.322998046875,0.20458984375,0.655836820602417,0.9464599609375,0.5479938149452209
HotpotQA,0,facebook/opt-2.7b,20,0.74267578125,3.3680577278137207,43.78947448730469,0.25732421875,0.11366901899638925,0.8757894897460937,0.3616612165852596
HotpotQA,0,facebook/opt-2.7b,21,0.7841796875,1.8370494842529297,56.36058044433594,0.2158203125,0.5165659251965974,1.0,0.5171261988188091
HotpotQA,0,facebook/opt-2.7b,22,0.7822265625,2.9925928115844727,58.690643310546875,0.2177734375,0.21247557589882296,1.0,0.41147582656458803
HotpotQA,0,facebook/opt-2.7b,23,0.81396484375,4.270953178405762,62.06596374511719,0.18603515625,0.0,1.0,0.3244140625
HotpotQA,0,facebook/opt-2.7b,24,0.87255859375,0.7940680980682373,59.27006912231445,0.12744140625,0.7910347110346744,1.0,0.5778387113621359
HotpotQA,0,facebook/opt-2.7b,25,0.67626953125,2.940499782562256,56.778717041015625,0.32373046875,0.22618426774677475,1.0,0.45865668121137115
HotpotQA,0,facebook/opt-2.7b,26,0.728515625,1.9382213354110718,59.36130905151367,0.271484375,0.48994175383919164,1.0,0.5300733638437171
HotpotQA,0,facebook/opt-2.7b,27,0.93115234375,1.7499712705612183,59.020633697509766,0.06884765625,0.539481244589153,1.0,0.4663574981062035
HotpotQA,0,facebook/opt-2.7b,28,0.7412109375,3.7382423877716064,52.925846099853516,0.2587890625,0.01625200321799826,1.0,0.3592038261262994
HotpotQA,0,facebook/opt-2.7b,29,0.7421875,4.388514518737793,52.3937873840332,0.2578125,0.0,1.0,0.353125
HotpotQA,0,facebook/opt-2.7b,30,0.7333984375,4.381381034851074,57.59006881713867,0.2666015625,0.0,1.0,0.356640625
HotpotQA,0,facebook/opt-2.7b,31,0.77001953125,4.4855570793151855,66.3558120727539,0.22998046875,0.0,1.0,0.3419921875
HotpotQA,0,facebook/opt-2.7b,32,0.78369140625,3.6879522800445557,67.63814544677734,0.21630859375,0.029486242093537937,1.0,0.3468436222327383
HotpotQA,0,facebook/opt-2.7b,33,0.91259765625,1.279525876045227,58.23240280151367,0.08740234375,0.6632826641986245,1.0,0.5171098699695185
HotpotQA,0,facebook/opt-2.7b,34,0.736328125,2.9177494049072266,32.31498718261719,0.263671875,0.23217120923494033,0.6462997436523438,0.34830360914531505
HotpotQA,0,facebook/opt-2.7b,35,0.78125,0.5663309097290039,55.26905822753906,0.21875,0.8509655500713148,1.0,0.6353379425249601
HotpotQA,0,facebook/opt-2.7b,36,0.70263671875,4.396271705627441,58.69316864013672,0.29736328125,0.0,1.0,0.3689453125
HotpotQA,0,facebook/opt-2.7b,37,0.80517578125,3.2744011878967285,65.74136352539062,0.19482421875,0.13831547686928192,1.0,0.3763401044042487
HotpotQA,0,facebook/opt-2.7b,38,0.78759765625,5.760168552398682,58.9246711730957,0.21240234375,0.15203371047973632,1.0,0.3881727361679077
HotpotQA,0,facebook/opt-2.7b,39,0.88671875,1.738637924194336,56.604888916015625,0.11328125,0.5424637041593853,1.0,0.4851747964557849
HotpotQA,0,facebook/opt-2.7b,40,0.75341796875,3.488065719604492,53.35773849487305,0.24658203125,0.08208796852513359,1.0,0.3773636014837968
HotpotQA,0,facebook/opt-2.7b,41,0.72802734375,3.7460856437683105,43.2847785949707,0.27197265625,0.014187988482023494,0.865695571899414,0.33017875144356174
HotpotQA,0,facebook/opt-2.7b,42,0.7314453125,3.796827554702759,59.774471282958984,0.2685546875,0.0008348540255897456,1.0,0.35771407390895643
HotpotQA,0,facebook/opt-2.7b,43,0.7822265625,2.858736991882324,63.76368713378906,0.2177734375,0.24770079160991465,1.0,0.4238046520634701
HotpotQA,0,facebook/opt-2.7b,44,0.92236328125,1.8138092756271362,66.14722442626953,0.07763671875,0.5226817695718062,1.0,0.4639933068501322
HotpotQA,0,facebook/opt-2.7b,45,0.7421875,3.801727056503296,44.99763107299805,0.2578125,0.0,0.8999526214599609,0.32811315536499025
HotpotQA,0,facebook/opt-2.7b,46,0.724609375,3.371783494949341,61.245296478271484,0.275390625,0.11268855396069974,1.0,0.3995972438862449
HotpotQA,0,facebook/opt-2.7b,47,0.8349609375,3.3185911178588867,58.74334716796875,0.1650390625,0.12668654793187187,1.0,0.3603559167761552
HotpotQA,0,facebook/opt-2.7b,48,0.88623046875,2.11352801322937,59.981502532958984,0.11376953125,0.44380841757121836,1.0,0.4508407586499264
HotpotQA,0,facebook/opt-2.7b,49,0.8984375,1.639920711517334,62.67026901245117,0.1015625,0.5684419180217541,1.0,0.48957967130761393
HotpotQA,0,facebook/opt-2.7b,50,0.7236328125,6.723047733306885,48.450950622558594,0.2763671875,0.34460954666137694,0.9690190124511718,0.47341496944427486
HotpotQA,0,facebook/opt-2.7b,51,0.82177734375,1.6244840621948242,64.35057830810547,0.17822265625,0.5725041941592568,1.0,0.5216655304557398
HotpotQA,0,facebook/opt-2.7b,52,0.765625,3.8886561393737793,66.45146942138672,0.234375,0.0,1.0,0.34375
HotpotQA,0,facebook/opt-2.7b,53,0.89599609375,1.7592319250106812,65.8848648071289,0.10400390625,0.5370442302603471,1.0,0.47956704309112147
HotpotQA,0,facebook/opt-2.7b,54,0.75244140625,1.9279221296310425,44.01376724243164,0.24755859375,0.49265207114972565,0.8802753448486328,0.49152049861456215
HotpotQA,0,facebook/opt-2.7b,55,0.70458984375,4.752532005310059,62.83036422729492,0.29541015625,0.0,1.0,0.3681640625
HotpotQA,0,facebook/opt-2.7b,56,0.8232421875,4.30204439163208,65.59518432617188,0.1767578125,0.0,1.0,0.320703125
HotpotQA,0,facebook/opt-2.7b,57,0.7314453125,4.249505043029785,61.62260055541992,0.2685546875,0.0,1.0,0.357421875
HotpotQA,0,facebook/opt-2.7b,58,0.85888671875,3.7868175506591797,66.3756103515625,0.14111328125,0.0034690656160052988,1.0,0.30765948546560185
HotpotQA,0,facebook/opt-2.7b,59,0.7900390625,4.122593879699707,68.42493438720703,0.2099609375,0.0,1.0,0.333984375
HotpotQA,0,facebook/opt-2.7b,60,0.88134765625,2.7197933197021484,66.19654083251953,0.11865234375,0.2842649158678556,1.0,0.3969536580537495
HotpotQA,0,facebook/opt-2.7b,61,0.77880859375,0.8541398644447327,62.783782958984375,0.22119140625,0.7752263514619124,1.0,0.6098057855116694
HotpotQA,0,facebook/opt-2.7b,62,0.7685546875,1.7000911235809326,65.17555236816406,0.2314453125,0.5526075990576493,1.0,0.5359907846701772
HotpotQA,0,facebook/opt-2.7b,63,0.93994140625,0.8543573021888733,64.53480529785156,0.06005859375,0.7751691310029281,1.0,0.5453326333510249
HotpotQA,1,facebook/opt-2.7b,0,0.59619140625,4.097173690795898,0.0,0.40380859375,0.0,0.0,0.1615234375
HotpotQA,1,facebook/opt-2.7b,1,0.74462890625,0.2911778688430786,52.86198043823242,0.25537109375,0.9233742450412951,1.0,0.6753294232644533
HotpotQA,1,facebook/opt-2.7b,2,0.6923828125,1.3097054958343506,52.792335510253906,0.3076171875,0.6553406589909604,1.0,0.6024161056468361
HotpotQA,1,facebook/opt-2.7b,3,0.6796875,2.38749623298645,50.95856857299805,0.3203125,0.37171151763514465,1.0,0.5082240311723006
HotpotQA,1,facebook/opt-2.7b,4,0.61181640625,3.1400809288024902,48.97882080078125,0.38818359375,0.17366291347302884,0.979576416015625,0.4609495612194663
HotpotQA,1,facebook/opt-2.7b,5,0.71630859375,0.5823545455932617,53.49925994873047,0.28369140625,0.846748803791247,1.0,0.6598386438269364
HotpotQA,1,facebook/opt-2.7b,6,0.66845703125,0.4629763960838318,57.7118034362793,0.33154296875,0.8781641062937284,1.0,0.6899746247028049
HotpotQA,1,facebook/opt-2.7b,7,0.68017578125,1.9543564319610596,56.91964340209961,0.31982421875,0.4856956757997211,1.0,0.5479231740299024
